유니버스 2773종목 (현재상장 2555 + 상폐 218)
남은 2773종목
  50/2773  ok=50 empty=0 fail=0  3.4종목/s  남은 13분
  100/2773  ok=100 empty=0 fail=0  3.6종목/s  남은 12분
  150/2773  ok=150 empty=0 fail=0  3.6종목/s  남은 12분
  200/2773  ok=200 empty=0 fail=0  3.7종목/s  남은 12분
  250/2773  ok=250 empty=0 fail=0  3.7종목/s  남은 11분
  300/2773  ok=299 empty=0 fail=1  3.6종목/s  남은 11분
  350/2773  ok=349 empty=0 fail=1  3.7종목/s  남은 11분
  400/2773  ok=398 empty=1 fail=1  3.7종목/s  남은 11분
  450/2773  ok=447 empty=2 fail=1  3.7종목/s  남은 10분
  500/2773  ok=496 empty=3 fail=1  3.8종목/s  남은 10분
  550/2773  ok=546 empty=3 fail=1  3.8종목/s  남은 10분
  600/2773  ok=596 empty=3 fail=1  3.8종목/s  남은 10분
  650/2773  ok=646 empty=3 fail=1  3.8종목/s  남은 9분
  700/2773  ok=693 empty=6 fail=1  3.8종목/s  남은 9분
  750/2773  ok=742 empty=7 fail=1  3.8종목/s  남은 9분
  800/2773  ok=792 empty=7 fail=1  3.8종목/s  남은 9분
  850/2773  ok=842 empty=7 fail=1  3.9종목/s  남은 8분
  900/2773  ok=892 empty=7 fail=1  3.9종목/s  남은 8분
  950/2773  ok=942 empty=7 fail=1  3.9종목/s  남은 8분
  1000/2773  ok=992 empty=7 fail=1  3.9종목/s  남은 8분
  1050/2773  ok=1042 empty=7 fail=1  3.9종목/s  남은 7분
  1100/2773  ok=1092 empty=7 fail=1  3.9종목/s  남은 7분
  1150/2773  ok=1140 empty=9 fail=1  3.9종목/s  남은 7분
  1200/2773  ok=1190 empty=9 fail=1  3.9종목/s  남은 7분
  1250/2773  ok=1240 empty=9 fail=1  3.9종목/s  남은 6분
  1300/2773  ok=1290 empty=9 fail=1  3.9종목/s  남은 6분
  1350/2773  ok=1340 empty=9 fail=1  3.9종목/s  남은 6분
  1400/2773  ok=1390 empty=9 fail=1  3.9종목/s  남은 6분
  1450/2773  ok=1439 empty=10 fail=1  4.0종목/s  남은 6분
  1500/2773  ok=1489 empty=10 fail=1  4.0종목/s  남은 5분
  1550/2773  ok=1539 empty=10 fail=1  4.0종목/s  남은 5분
  1600/2773  ok=1589 empty=10 fail=1  4.0종목/s  남은 5분
  1650/2773  ok=1639 empty=10 fail=1  4.0종목/s  남은 5분
  1700/2773  ok=1689 empty=10 fail=1  4.0종목/s  남은 5분
  1750/2773  ok=1739 empty=10 fail=1  4.0종목/s  남은 4분
  1800/2773  ok=1788 empty=11 fail=1  4.0종목/s  남은 4분
  1850/2773  ok=1838 empty=11 fail=1  4.0종목/s  남은 4분
  1900/2773  ok=1887 empty=12 fail=1  4.0종목/s  남은 4분
  1950/2773  ok=1937 empty=12 fail=1  4.0종목/s  남은 3분
  2000/2773  ok=1987 empty=12 fail=1  4.0종목/s  남은 3분
  2050/2773  ok=2036 empty=13 fail=1  4.0종목/s  남은 3분
  2100/2773  ok=2086 empty=13 fail=1  4.0종목/s  남은 3분
  2150/2773  ok=2136 empty=13 fail=1  4.0종목/s  남은 3분
  2200/2773  ok=2186 empty=13 fail=1  4.0종목/s  남은 2분
  2250/2773  ok=2236 empty=13 fail=1  4.0종목/s  남은 2분
  2300/2773  ok=2286 empty=13 fail=1  4.0종목/s  남은 2분
  2350/2773  ok=2336 empty=13 fail=1  4.0종목/s  남은 2분
  2400/2773  ok=2386 empty=13 fail=1  4.0종목/s  남은 2분
  2450/2773  ok=2436 empty=13 fail=1  4.0종목/s  남은 1분
  2500/2773  ok=2484 empty=15 fail=1  4.0종목/s  남은 1분
  2550/2773  ok=2534 empty=15 fail=1  4.0종목/s  남은 1분
  2600/2773  ok=2579 empty=20 fail=1  4.0종목/s  남은 1분
  2650/2773  ok=2629 empty=20 fail=1  4.0종목/s  남은 1분
  2700/2773  ok=2679 empty=20 fail=1  4.0종목/s  남은 0분
  2750/2773  ok=2729 empty=20 fail=1  4.0종목/s  남은 0분
완료 ok=2752 empty=20 fail=1  11.6분
