Date,Price,Open,High,Low
2026-08-27,123.05,123.4,124.88,117.6901
2026-08-26,116.6,114.7,117.39,112.53
2026-08-25,115.67,117.37,119.88,113.13
2026-08-24,111.16,115.07,115.07,106
2026-08-21,120.6,126.59,126.79,116.71
2026-08-20,122.21,119.99,124.56,117.42
2026-08-19,120.74,132.63,133.74,116.84
2026-08-18,129.1,134.2,137.6,122.4
2026-08-17,151.53,150.61,156.92,148.9
2026-08-14,144.95,143.79,146.65,138.9
2026-08-13,145.36,142.16,154.13,141.84
2026-08-12,142.16,147.3,147.7,141.89
2026-08-11,133,136.26,136.6,130.06
2026-08-10,130,142.8,143.45,130
2026-08-07,140.25,141.97,143.92,131.56
2026-08-06,132.33,125.23,140,120.75
2026-08-05,132.07,135.54,144.34,130
2026-08-04,139.9,131.51,142.42,129.66
2026-08-03,116.71,106.15,118.87,102.09
2026-07-31,114.72,129.9,133.88,112.42
2026-07-30,114.72,107.38,118,105.12
2026-07-29,91.99,107.62,112.67,91.5
2026-07-28,109.54,113.15,114.95,101.53
2026-07-27,128.15,140.65,148.02,115.45
2026-07-24,136.81,151.45,154.5,132.55
2026-07-23,157.5,152.16,162.92,150.65
2026-07-22,160.99,147.1,165.75,147
2026-07-21,158.54,155.84,160.64,148.87
2026-07-20,136.81,143.52,148.74,135.67
2026-07-17,135.47,124.73,144.4,116.47
2026-07-16,142.48,150.44,155.83,138
2026-07-15,165.55,183.77,184,150
2026-07-14,176.66,187.69,188.43,170.26
2026-07-13,165.37,174.61,177.67,161.55
2026-07-10,192.26,182.4,195.94,176.8
2026-07-09,192.45,199.81,204.55,189.46
2026-07-08,174.82,159.21,176.75,158.87
2026-07-07,165.28,165.4,171.88,150.08
2026-07-06,194.65,197.21,210.8,194.22
2026-07-02,181.47,219.23,226.13,168.88
2026-07-01,217.55,237.79,246.47,215.38
2026-06-30,266.71,241.45,272,240.59
2026-06-29,236.52,216.36,238.65,192.3
2026-06-26,215.6,226.24,231.25,212.1
2026-06-25,252.61,268.05,268.4,225.74
2026-06-24,229.57,233.11,237,211.13
2026-06-23,231.42,236,252.98,223
2026-06-22,300.77,299.26,302,286.24
2026-06-18,279.29,266.04,286.15,265
2026-06-17,233.86,247.42,259.79,233.3
2026-06-16,226.19,267.13,274.93,226
2026-06-15,272.5,265.99,274.88,261.6
2026-06-12,234.68,222.22,242.4,214.74
2026-06-11,223.99,192.3,225.63,192.3
2026-06-10,180.65,191.54,212.99,177.3
2026-06-09,201.68,227.06,231.02,157.56
2026-06-08,211.44,210.62,222.19,201.69
2026-06-05,182.54,230.85,233.69,181.81
2026-06-04,262.7,242.04,274.5,228.55
2026-06-03,280.54,281.47,284.58,257.26
2026-06-02,266.32,243.18,267.08,238.82
2026-06-01,227.03,217.27,234.06,210.14
2026-05-29,224.34,231.82,239.07,218.56
2026-05-28,224.63,219,231.89,207.56
2026-05-27,217.98,242.66,242.66,204
2026-05-26,225.79,211.38,228.5,209.89
2026-05-22,190.56,184.8,195.27,183.34
2026-05-21,178.39,171.26,179.97,168.23
2026-05-20,173.2,161,173.7,161
2026-05-19,151.89,141.24,160.6,135.02
2026-05-18,151.75,172.95,174.61,142.69
2026-05-15,164.18,167,174.4,161.14
2026-05-14,186.19,182.67,189.56,178.28
2026-05-13,184.24,183.84,188.49,172.26
2026-05-12,172.52,177.62,182.24,150.58
2026-05-11,190.42,181,191.29,178.94
2026-05-08,176.94,163,177.5,161.51
2026-05-07,152.1,162.12,162.9,147.61
2026-05-06,165.85,157.84,166,149.06
2026-05-05,144.16,135,147.26,134.02
2026-05-04,127.55,132.2,133.67,123.8
2026-05-01,130.4,124.39,131.38,121.66
2026-04-30,126.98,122.81,127.45,117.5
