Date,Price,Open,High,Low
2026-08-27,210.66,203.76,211.17,201.625
2026-08-26,192.7,186.26,194.18,186.26
2026-08-25,189.43,190.1,193.19,186
2026-08-24,184.21,189.32,190.1,180.57
2026-08-21,194.81,198.08,198.21,190.07
2026-08-20,194.13,195.11,199.04,192.73
2026-08-19,195.39,204.92,206.54,191.94
2026-08-18,202.1,204.98,209,198.08
2026-08-17,218.9,220.39,223.52,217.92
2026-08-14,217.67,221.65,222,215.01
2026-08-13,220.58,214.98,223.82,214.05
2026-08-12,214.05,215.82,216.49,212.24
2026-08-11,204.95,210.05,210.23,201.7
2026-08-10,205.98,211.04,214.3,205.7
2026-08-07,211.64,211.45,213.83,204.15
2026-08-06,203.42,196.09,208.11,192.02
2026-08-05,204.99,209.65,213.82,204.34
2026-08-04,208.39,194.33,210.56,192.88
2026-08-03,181.24,169.24,183.88,166.41
2026-07-31,173.55,179.71,183.24,165.59
2026-07-30,174.45,166.55,175.58,165.16
2026-07-29,150.12,162.48,166.85,149.79
2026-07-28,163.03,163.11,166.11,152.51
2026-07-27,172.59,183.2,183.95,164.74
2026-07-24,177.06,183.13,187.14,174.79
2026-07-23,185.5,186.44,191.48,181.5
2026-07-22,191.29,185.15,194.78,185.15
2026-07-21,192.79,189.05,193.61,185.31
2026-07-20,177.86,182.08,186.6,177.07
2026-07-17,177.65,169.07,184.47,164.26
2026-07-16,183.36,188.47,189.83,180.05
2026-07-15,197.13,208.58,208.98,185.58
2026-07-14,203.31,203.49,206.14,196.28
2026-07-13,196.5,202.63,205.03,193.59
2026-07-10,211.7,205.38,213.01,202.18
2026-07-09,209.97,207.96,213.55,204.65
2026-07-08,197.3,185.26,198,184.09
2026-07-07,190.26,192.07,195.33,181.01
2026-07-06,204.9,201.78,212.14,200.06
2026-07-02,195.27,212.38,218.79,189
2026-07-01,213.09,217.78,221.5,212.04
2026-06-30,230.76,214.5,232.3,214.42
2026-06-29,213.81,205.71,214,191.01
2026-06-26,198.99,198.96,205.92,194.4
2026-06-25,210.65,223.8,223.94,196.82
2026-06-24,206.15,210.2,214.98,198.4
2026-06-23,210.24,211.27,221.42,208
2026-06-22,239.661,242.1888,247.8539,235.2748
2026-06-18,236.284,233.1667,238.3322,229.4499
2026-06-17,216.781,228.3609,231.658,215.1923
2026-06-16,219.6884,237.9625,240.9898,219.4286
2026-06-15,239.0016,234.7952,240.4103,232.3973
2026-06-12,215.3022,209.7771,218.6393,204.162
2026-06-11,209.9669,192.3822,211.0659,188.3358
2026-06-10,188.4357,194.4804,208.0286,187.3466
2026-06-09,202.6633,221.2171,224.9239,175.467
2026-06-08,215.1724,218.2597,223.3452,211.4556
2026-06-05,202.4135,236.3439,236.7336,200.0855
2026-06-04,252.7896,245.7157,258.7444,238.522
2026-06-03,264.869,273.3216,275.16,257.8551
2026-06-02,273.0419,265.7882,273.3516,263.2205
2026-06-01,263.4403,249.7222,266.068,248.1636
2026-05-29,245.1762,238.9516,247.3543,238.512
2026-05-28,230.0494,222.1563,232.4673,218.7792
2026-05-27,220.8774,227.9013,227.9812,214.3831
2026-05-26,223.8648,217.1406,226.7922,215.0225
2026-05-22,207.6689,206.3101,211.9951,204.6415
2026-05-21,201.4443,192.5721,202.8631,192.5721
2026-05-20,196.7284,188.9053,197.0182,186.7172
2026-05-19,184.2793,182.351,190.5338,176.7459
2026-05-18,187.9361,199.1963,199.526,179.9431
2026-05-15,194.8801,194.3405,202.8231,188.8353
2026-05-14,205.5807,198.5369,208.0985,196.8284
2026-05-13,196.9782,198.0872,199.7258,188.3457
2026-05-12,191.513,194.8301,197.4878,177.9848
2026-05-11,200.5251,194.6103,201.9339,194.3505
2026-05-08,192.9218,180.7524,193.0716,179.8931
2026-05-07,174.6877,177.1255,181.9713,171.95
2026-05-06,175.8766,169.3023,176.3162,166.6846
2026-05-05,162.9879,157.9822,164.2268,157.4427
2026-05-04,153.0166,154.6751,156.3636,149.7294
