Date,Price,Open,High,Low
2026-08-27,73.3,72.085,73.38,71.375
2026-08-26,70.47,69.56,70.94,69.44
2026-08-25,70.27,70.42,71.27,69.35
2026-08-24,69.01,70,70.05,67.93
2026-08-21,71.17,71.7,71.83,69.91
2026-08-20,70.48,70.83,71.69,69.76
2026-08-19,72.06,73.37,73.7,71
2026-08-18,72.53,73.36,73.96,72.01
2026-08-17,76.4,77.38,77.9,76.21
2026-08-14,76.79,77.57,77.85,75.94
2026-08-13,77.15,75.04,77.77,74.71
2026-08-12,74.6,75.62,75.69,74.38
2026-08-11,73.06,74.54,74.54,72.24
2026-08-10,73.8,74.27,74.98,73.64
2026-08-07,74.47,73.66,74.67,72.52
2026-08-06,72.03,70.85,73.45,70.16
2026-08-05,72.84,75.61,76.33,72.74
2026-08-04,74.82,70.31,75.41,70.14
2026-08-03,67.96,64.71,68.41,63.99
2026-07-31,64.62,65.74,66.77,62.39
2026-07-30,63.3,61.13,63.84,60.74
2026-07-29,57.75,61.51,62.74,57.59
2026-07-28,61.56,61.77,62.61,59.4
2026-07-27,63.4,66.06,66.23,61.64
2026-07-24,64,65.78,66.4,63.49
2026-07-23,66.3,67.11,68.27,65.02
2026-07-22,70.28,69.77,71.59,69.77
2026-07-21,71.37,70.71,71.72,69.61
2026-07-20,67.65,69.47,70.51,67.5
2026-07-17,67.53,66.38,69.56,64.91
2026-07-16,70.74,72.61,73.12,69.69
2026-07-15,74.44,76.29,76.47,72.06
2026-07-14,75.02,75.2,75.85,73.41
2026-07-13,72.64,74.54,74.85,72.09
2026-07-10,77.03,75.53,77.32,74.33
2026-07-09,76.34,74.85,76.69,73.89
2026-07-08,72.72,70.8,73.02,69.57
2026-07-07,72.23,73.7,74.39,70.76
2026-07-06,76.42,75.54,77.45,75.11
2026-07-02,73.35,77.45,79.14,71.72
2026-07-01,77.46,78.72,79.64,77.23
2026-06-30,81,77.24,81.54,77.15
2026-06-29,77.19,74.12,77.38,71.45
2026-06-26,71.83,72.09,74.69,70.72
2026-06-25,74.95,77.96,78.24,71.6
2026-06-24,73.3,74.79,76.18,71.35
2026-06-23,74.269,74.9474,77.5614,73.7402
2026-06-22,82.3903,83.7572,84.9145,81.203
2026-06-18,82.6796,81.9114,83.408,80.4448
2026-06-17,77.3619,81.4824,81.6221,76.7633
2026-06-16,79.7464,83.9966,84.6351,79.6766
2026-06-15,84.3957,82.6896,84.8347,82.4502
2026-06-12,77.3419,76.1646,78.18,74.1193
2026-06-11,75.8354,70.7272,76.424,69.4301
2026-06-10,69.1109,71.5153,74.5284,68.8415
2026-06-09,73.5507,78.2997,79.1577,66.6366
2026-06-08,76.0948,76.6834,78.2897,75.2068
2026-06-05,72.8822,81.3826,81.8914,72.513
2026-06-04,85.0242,83.2783,86.0519,82.2905
2026-06-03,86.3612,87.4786,87.8876,85.2138
2026-06-02,87.0196,85.7426,87.1194,84.6351
2026-06-01,85.8424,83.9567,86.86,83.5576
2026-05-29,84.3658,84.2161,85.5031,83.3381
2026-05-28,83.4878,81.5522,83.8569,80.4747
2026-05-27,81.4824,82.6796,82.7195,80.1455
